perturb_epoch,perturbation_type,delta_loss,delta_rsa,baseline_loss,baseline_rsa
5,gaussian,6.5801,-0.3706,7.1296,0.4117
5,label_shuffle,6.6826,-0.345,7.1296,0.4117
5,target_noise,6.6845,-0.3409,7.1296,0.4117
5,uniform_gray,6.5668,-0.3872,7.1296,0.4117
10,gaussian,7.7493,-0.4042,6.0213,0.4413
10,label_shuffle,7.7922,-0.3718,6.0213,0.4413
10,target_noise,7.7894,-0.3762,6.0213,0.4413
10,uniform_gray,7.7566,-0.4014,6.0213,0.4413
15,gaussian,8.2461,-0.409,5.4823,0.4754
15,label_shuffle,8.3328,-0.4289,5.4823,0.4754
15,target_noise,8.3335,-0.4228,5.4823,0.4754
15,uniform_gray,8.2741,-0.4134,5.4823,0.4754
16,gaussian,8.3662,-0.446,5.4115,0.5189
16,label_shuffle,8.402,-0.441,5.4115,0.5189
16,target_noise,8.4029,-0.4254,5.4115,0.5189
16,uniform_gray,8.3488,-0.4399,5.4115,0.5189
20,gaussian,8.6684,-0.3532,5.084,0.4215
20,label_shuffle,8.7327,-0.3404,5.084,0.4215
20,target_noise,8.7301,-0.3476,5.084,0.4215
20,uniform_gray,8.6367,-0.3245,5.084,0.4215
25,gaussian,8.899,-0.3946,4.8183,0.4571
25,label_shuffle,8.9946,-0.3688,4.8183,0.4571
25,target_noise,8.9931,-0.3626,4.8183,0.4571
25,uniform_gray,8.9069,-0.3835,4.8183,0.4571
30,gaussian,9.171,-0.361,4.5746,0.4016
30,label_shuffle,9.2414,-0.2863,4.5746,0.4016
30,target_noise,9.2393,-0.3082,4.5746,0.4016
30,uniform_gray,9.2201,-0.369,4.5746,0.4016
35,gaussian,9.1927,-0.3174,4.4412,0.4268
35,label_shuffle,9.372,-0.346,4.4412,0.4268
35,target_noise,9.3701,-0.3551,4.4412,0.4268
35,uniform_gray,9.1787,-0.3302,4.4412,0.4268
45,gaussian,9.2951,-0.391,4.1988,0.4521
45,label_shuffle,9.6109,-0.4067,4.1988,0.4521
45,target_noise,9.6125,-0.3922,4.1988,0.4521
45,uniform_gray,9.2848,-0.4008,4.1988,0.4521
70,gaussian,9.2622,-0.2868,3.6247,0.3703
70,label_shuffle,10.1804,-0.3347,3.6247,0.3703
70,target_noise,10.1817,-0.3294,3.6247,0.3703
70,uniform_gray,9.23,-0.2836,3.6247,0.3703
98,gaussian,0.0284,-0.2489,3.439,0.2763
98,label_shuffle,10.1445,-0.2595,3.439,0.2763
98,target_noise,10.1427,-0.2601,3.439,0.2763
98,uniform_gray,0.0215,-0.25,3.439,0.2763
